id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
571789,2024-01-01,segunda-feira,03:56:00,ES,101,38,CONCEICAO DA BARRA,Ultrapassagem Indevida,Colisão lateral sentido oposto,NA,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,3,0,0,1,1,1,1,3,"-18,48261","-39,92379",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
571804,2024-01-01,segunda-feira,04:50:00,PI,343,185,PIRIPIRI,Manobra de mudança de faixa,Colisão frontal,Com Vítimas Fatais,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Sim,2,1,0,0,1,0,0,2,"-4,29603281","-41,76732659",SPRF-PI,DEL02-PI,UOP01-DEL02-PI
571806,2024-01-01,segunda-feira,04:30:00,BA,116,578,BREJOES,Ingestão de álcool pelo condutor,Colisão frontal,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Não,3,1,0,0,1,2,0,4,"-13,07158302","-39,9611107",SPRF-BA,DEL03-BA,UOP02-DEL03-BA
571818,2024-01-01,segunda-feira,06:30:00,SE,101,18,MALHADA DOS BOIS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Dupla,Declive;Reta,Não,2,0,0,1,0,2,1,3,"-10,35601949","-36,90552235",SPRF-SE,DEL02-SE,UOP02-DEL02-SE
571838,2024-01-01,segunda-feira,05:00:00,MT,364,240,RONDONOPOLIS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,3,0,0,0,2,1,0,3,"-16,17914141","-54,78905337",SPRF-MT,DEL02-MT,UOP01-DEL02-MT
571855,2024-01-01,segunda-feira,11:50:00,MG,251,447,GRAO MOGOL,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Aclive;Curva,Não,3,0,1,0,1,1,1,3,"-16,43408996","-43,27992195",SPRF-MG,DEL12-MG,UOP01-DEL12-MG
571910,2024-01-01,segunda-feira,15:45:00,BA,116,"852,9",VITORIA DA CONQUISTA,Chuva,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Simples,Aclive;Curva,Não,4,2,0,0,2,0,0,2,"-15,0196651","-40,94931289",SPRF-BA,DEL08-BA,UOP01-DEL08-BA
571922,2024-01-01,segunda-feira,15:30:00,MG,251,"459,7",GRAO MOGOL,Condutor Dormindo,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,4,0,2,0,1,3,2,5,"-16,41473399","-43,368613",SPRF-MG,DEL12-MG,UOP01-DEL12-MG
571949,2024-01-01,segunda-feira,18:10:00,SP,116,550,BARRA DO TURVO,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Não,2,0,1,0,0,1,1,2,"-24,95749618","-48,46440871",SPRF-SP,DEL05-SP,UOP02-DEL05-SP
571957,2024-01-01,segunda-feira,13:30:00,MG,262,"594,4",CAMPOS ALTOS,Pista Escorregadia,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta;Declive,Não,1,0,0,0,1,0,0,1,"-19,66568189","-46,16901785",SPRF-MG,DEL08-MG,UOP02-DEL08-MG
